"datetime","CO","NO2","O3","PM2.5","SO2"
2015-01-02 00:00:00,NA,NA,NA,NA,NA
2015-01-02 01:00:00,1.259,47,6,138,15
2015-01-02 02:00:00,1.333,43,6,148,16
2015-01-02 03:00:00,1.306,41,7,147,18
2015-01-02 04:00:00,1.296,41,7,145,18
2015-01-02 05:00:00,1.274,40,7,145,17
2015-01-02 06:00:00,1.269,40,7,139,17
2015-01-02 07:00:00,1.296,39,8,138,17
2015-01-02 08:00:00,1.349,45,6,142,18
2015-01-02 09:00:00,1.402,43,10,142,18
2015-01-02 10:00:00,1.519,47,11,154,21
2015-01-02 11:00:00,1.574,51,10,162,24
2015-01-02 12:00:00,1.556,55,9,161,31
2015-01-02 13:00:00,1.481,55,12,161,31
2015-01-02 14:00:00,1.451,55,19,162,28
2015-01-02 15:00:00,1.419,58,23,164,27
2015-01-02 16:00:00,1.37,57,29,165,27
2015-01-02 17:00:00,1.348,62,27,161,25
2015-01-02 18:00:00,1.377,69,20,163,22
2015-01-02 19:00:00,1.528,73,12,165,17
2015-01-02 20:00:00,1.688,69,11,167,14
2015-01-02 21:00:00,1.88,66,11,173,14
2015-01-02 22:00:00,1.92,62,11,172,11
2015-01-02 23:00:00,1.987,58,10,167,10
2015-01-03 00:00:00,1.978,55,9,159,10
2015-01-03 01:00:00,1.967,53,9,153,13
2015-01-03 02:00:00,2.004,49,10,153,12
2015-01-03 03:00:00,2.072,46,11,158,10
2015-01-03 04:00:00,2.052,45,11,160,10
2015-01-03 05:00:00,1.957,44,11,155,10
2015-01-03 06:00:00,1.882,43,11,152,9
2015-01-03 07:00:00,1.871,41,11,149,8
2015-01-03 08:00:00,1.84,43,7,148,8
2015-01-03 09:00:00,1.969,46,7,156,9
2015-01-03 10:00:00,2.099,48,7,163,12
2015-01-03 11:00:00,2.013,54,9,167,15
2015-01-03 12:00:00,1.708,56,19,164,17
2015-01-03 13:00:00,1.412,51,32,155,20
2015-01-03 14:00:00,1.379,55,40,159,20
2015-01-03 15:00:00,1.288,52,47,161,18
2015-01-03 16:00:00,1.284,56,44,167,16
2015-01-03 17:00:00,1.235,58,41,166,15
2015-01-03 18:00:00,1.192,52,41,158,13
2015-01-03 19:00:00,1.137,50,38,150,12
2015-01-03 20:00:00,1.148,51,34,146,13
2015-01-03 21:00:00,1.087,45,40,143,11
2015-01-03 22:00:00,1.112,47,35,141,11
2015-01-03 23:00:00,1.205,61,14,138,9
2015-01-04 00:00:00,1.326,64,9,134,8
2015-01-04 01:00:00,NA,NA,NA,NA,NA
2015-01-04 02:00:00,NA,NA,NA,NA,NA
2015-01-04 03:00:00,NA,NA,NA,NA,NA
2015-01-04 04:00:00,NA,NA,NA,NA,NA
2015-01-04 05:00:00,NA,NA,NA,NA,NA
2015-01-04 06:00:00,NA,NA,NA,NA,NA
2015-01-04 07:00:00,NA,NA,NA,NA,NA
2015-01-04 08:00:00,NA,NA,NA,NA,NA
2015-01-04 09:00:00,NA,NA,NA,NA,NA
2015-01-04 10:00:00,NA,NA,NA,NA,NA
2015-01-04 11:00:00,NA,NA,NA,NA,NA
2015-01-04 12:00:00,2.178,76,6,175,19
2015-01-04 13:00:00,1.962,83,7,174,20
2015-01-04 14:00:00,1.662,78,12,166,20
2015-01-04 15:00:00,1.519,79,13,163,18
2015-01-04 16:00:00,1.408,76,16,163,17
2015-01-04 17:00:00,1.587,76,14,184,20
2015-01-04 18:00:00,NA,NA,NA,NA,NA
2015-01-04 19:00:00,1.427,71,13,181,29
2015-01-04 20:00:00,1.431,68,9,192,30
2015-01-04 21:00:00,1.381,59,10,187,21
2015-01-04 22:00:00,1.396,56,8,178,16
2015-01-04 23:00:00,1.33,55,7,160,13
2015-01-05 00:00:00,1.189,50,12,143,11
2015-01-05 01:00:00,1.133,45,15,128,11
2015-01-05 02:00:00,1.156,44,14,120,13
2015-01-05 03:00:00,1.132,43,11,112,12
2015-01-05 04:00:00,1.159,42,9,117,11
2015-01-05 05:00:00,1.211,38,12,123,11
2015-01-05 06:00:00,1.106,33,19,107,10
2015-01-05 07:00:00,1.094,37,14,92,10
2015-01-05 08:00:00,1.212,42,11,82,10
2015-01-05 09:00:00,1.471,40,17,76,10
2015-01-05 10:00:00,1.658,42,12,76,11
2015-01-05 11:00:00,1.866,46,13,77,12
2015-01-05 12:00:00,1.719,48,15,74,80
2015-01-05 13:00:00,1.589,55,15,75,14
2015-01-05 14:00:00,1.65,59,41,89,62
2015-01-05 15:00:00,NA,NA,NA,NA,NA
2015-01-05 16:00:00,NA,NA,NA,NA,NA
2015-01-05 17:00:00,2.077,80,18,130,18
2015-01-05 18:00:00,2.213,83,4,139,20
2015-01-05 19:00:00,2.532,83,4,141,16
2015-01-05 20:00:00,2.77,79,9,145,14
2015-01-05 21:00:00,3.029,74,14,151,14
2015-01-05 22:00:00,3.165,76,12,166,14
2015-01-05 23:00:00,3.211,72,14,172,15
2015-01-06 00:00:00,3.094,69,13,181,15
2015-01-06 01:00:00,2.629,64,13,163,16
2015-01-06 02:00:00,1.837,62,6,126,15
2015-01-06 03:00:00,1.295,55,10,91,14
2015-01-06 04:00:00,1.068,53,10,69,12
2015-01-06 05:00:00,0.806,54,9,51,10
2015-01-06 06:00:00,0.688,52,13,41,9
2015-01-06 07:00:00,0.658,49,16,33,8
2015-01-06 08:00:00,0.558,47,23,24,9
2015-01-06 09:00:00,0.62,51,19,21,8
2015-01-06 10:00:00,NA,NA,NA,NA,NA
2015-01-06 11:00:00,0.58,45,27,22,9
2015-01-06 12:00:00,NA,NA,NA,NA,NA
2015-01-06 13:00:00,0.419,24,57,21,8
2015-01-06 14:00:00,0.572,23,80,22,8
2015-01-06 15:00:00,0.409,26,68,24,48
2015-01-06 16:00:00,0.747,30,60,25,19
2015-01-06 17:00:00,0.417,37,53,27,8
2015-01-06 18:00:00,0.522,52,35,31,9
2015-01-06 19:00:00,0.61,61,22,37,9
2015-01-06 20:00:00,0.653,64,17,43,11
2015-01-06 21:00:00,0.711,68,11,49,12
2015-01-06 22:00:00,0.849,68,7,58,12
2015-01-06 23:00:00,0.905,65,8,64,16
2015-01-07 00:00:00,0.97,61,7,72,17
2015-01-07 01:00:00,1.009,59,7,69,16
2015-01-07 02:00:00,1.016,61,8,72,16
2015-01-07 03:00:00,1.084,57,9,79,17
2015-01-07 04:00:00,1.12,54,9,84,17
2015-01-07 05:00:00,1.121,51,11,84,15
2015-01-07 06:00:00,1.046,49,7,77,14
2015-01-07 07:00:00,0.997,46,8,73,12
2015-01-07 08:00:00,1.095,49,5,74,15
2015-01-07 09:00:00,1.251,50,8,75,19
2015-01-07 10:00:00,1.261,55,8,80,20
2015-01-07 11:00:00,0.994,56,13,69,19
2015-01-07 12:00:00,1.596,50,23,63,44
2015-01-07 13:00:00,0.778,50,42,60,17
2015-01-07 14:00:00,0.666,40,45,57,17
2015-01-07 15:00:00,0.639,37,51,62,16
2015-01-07 16:00:00,0.636,38,53,63,13
2015-01-07 17:00:00,0.662,42,44,66,13
2015-01-07 18:00:00,0.703,48,35,71,12
2015-01-07 19:00:00,0.774,55,26,74,12
2015-01-07 20:00:00,0.805,61,15,78,13
2015-01-07 21:00:00,0.86,63,10,81,13
2015-01-07 22:00:00,0.861,60,8,69,11
2015-01-07 23:00:00,0.944,56,6,70,10
2015-01-08 00:00:00,0.963,52,7,72,9
2015-01-08 01:00:00,0.965,50,6,72,8
2015-01-08 02:00:00,0.951,49,8,79,8
2015-01-08 03:00:00,0.925,46,8,89,9
2015-01-08 04:00:00,0.895,45,8,92,10
2015-01-08 05:00:00,0.908,43,7,87,10
2015-01-08 06:00:00,0.931,43,5,83,10
2015-01-08 07:00:00,0.906,41,7,71,8
2015-01-08 08:00:00,1.164,42,7,64,13
2015-01-08 09:00:00,0.98,41,5,73,9
2015-01-08 10:00:00,1.01,43,9,67,6
2015-01-08 11:00:00,1.021,44,11,67,6
2015-01-08 12:00:00,1.09,46,14,78,8
2015-01-08 13:00:00,1.172,46,25,80,9
2015-01-08 14:00:00,1.147,42,37,62,10
2015-01-08 15:00:00,0.733,37,45,54,8
2015-01-08 16:00:00,0.675,36,48,46,8
2015-01-08 17:00:00,0.816,38,48,52,8
2015-01-08 18:00:00,NA,NA,NA,NA,NA
2015-01-08 19:00:00,1.035,63,17,74,8
2015-01-08 20:00:00,1.197,68,10,89,9
2015-01-08 21:00:00,NA,NA,NA,NA,NA
2015-01-08 22:00:00,NA,NA,NA,NA,NA
2015-01-08 23:00:00,1.215,53,9,81,15
2015-01-09 00:00:00,1.116,47,10,76,14
2015-01-09 01:00:00,1.13,43,11,75,13
2015-01-09 02:00:00,1.139,40,11,77,11
2015-01-09 03:00:00,1.223,39,8,83,12
2015-01-09 04:00:00,1.199,36,8,85,13
2015-01-09 05:00:00,1.201,33,6,88,12
2015-01-09 06:00:00,1.22,32,6,86,10
2015-01-09 07:00:00,1.18,34,7,92,9
2015-01-09 08:00:00,1.3,34,9,86,9
2015-01-09 09:00:00,1.498,33,10,82,11
2015-01-09 10:00:00,1.637,39,8,88,14
2015-01-09 11:00:00,1.589,49,10,97,19
2015-01-09 12:00:00,1.569,62,12,104,24
2015-01-09 13:00:00,1.415,69,17,98,25
2015-01-09 14:00:00,1.206,69,24,91,20
2015-01-09 15:00:00,1.107,70,29,89,20
2015-01-09 16:00:00,1.044,66,37,82,16
2015-01-09 17:00:00,0.927,58,39,76,13
2015-01-09 18:00:00,0.981,65,26,85,11
2015-01-09 19:00:00,1.102,70,15,94,10
2015-01-09 20:00:00,NA,NA,NA,NA,NA
2015-01-09 21:00:00,1.2,65,10,98,8
2015-01-09 22:00:00,1.239,62,11,96,8
2015-01-09 23:00:00,1.254,58,12,95,7
2015-01-10 00:00:00,1.251,55,10,93,7
2015-01-10 01:00:00,1.282,50,11,92,7
2015-01-10 02:00:00,1.298,51,7,94,7
2015-01-10 03:00:00,1.26,49,6,90,5
2015-01-10 04:00:00,1.264,47,3,90,6
2015-01-10 05:00:00,1.311,43,4,86,6
2015-01-10 06:00:00,1.33,40,5,84,5
2015-01-10 07:00:00,1.318,41,5,85,6
2015-01-10 08:00:00,1.281,43,6,84,6
2015-01-10 09:00:00,1.411,41,4,83,8
2015-01-10 10:00:00,1.344,46,6,80,8
2015-01-10 11:00:00,1.275,51,9,85,10
2015-01-10 12:00:00,1.237,54,11,90,9
2015-01-10 13:00:00,1.153,56,14,91,9
2015-01-10 14:00:00,1.046,52,23,95,9
2015-01-10 15:00:00,0.95,45,37,93,9
2015-01-10 16:00:00,0.997,55,31,95,9
2015-01-10 17:00:00,1.026,60,26,100,8
2015-01-10 18:00:00,1.042,61,26,101,7
2015-01-10 19:00:00,1.049,60,23,104,7
2015-01-10 20:00:00,1.143,61,18,107,7
2015-01-10 21:00:00,1.315,58,12,120,9
2015-01-10 22:00:00,1.359,49,11,123,10
2015-01-10 23:00:00,1.391,49,3,122,11
2015-01-11 00:00:00,1.382,46,2,128,11
2015-01-11 01:00:00,1.381,42,3,130,12
2015-01-11 02:00:00,1.307,40,2,128,12
2015-01-11 03:00:00,1.251,37,2,128,12
2015-01-11 04:00:00,1.284,35,2,128,12
2015-01-11 05:00:00,NA,NA,NA,NA,NA
2015-01-11 06:00:00,1.28,33,1,115,11
2015-01-11 07:00:00,1.271,33,2,107,11
2015-01-11 08:00:00,1.31,33,2,108,12
2015-01-11 09:00:00,1.42,34,2,111,13
2015-01-11 10:00:00,1.552,37,4,119,16
2015-01-11 11:00:00,1.595,47,5,129,18
2015-01-11 12:00:00,1.337,53,12,129,18
2015-01-11 13:00:00,1.187,53,19,125,17
2015-01-11 14:00:00,1.092,47,28,124,16
2015-01-11 15:00:00,1.084,45,33,127,18
2015-01-11 16:00:00,1.082,48,35,125,19
2015-01-11 17:00:00,1.094,55,32,127,17
2015-01-11 18:00:00,1.118,59,26,130,18
2015-01-11 19:00:00,1.227,68,14,132,17
2015-01-11 20:00:00,1.253,64,14,121,15
2015-01-11 21:00:00,1.213,60,13,107,14
2015-01-11 22:00:00,1.206,60,12,107,17
2015-01-11 23:00:00,1.194,58,11,106,14
2015-01-12 00:00:00,1.237,57,9,103,12
2015-01-12 01:00:00,1.222,52,8,98,11
2015-01-12 02:00:00,1.241,48,8,96,10
2015-01-12 03:00:00,1.238,46,8,95,8
2015-01-12 04:00:00,1.216,45,7,92,8
2015-01-12 05:00:00,1.209,42,8,90,9
2015-01-12 06:00:00,1.23,38,9,89,8
2015-01-12 07:00:00,1.284,39,9,84,7
2015-01-12 08:00:00,1.426,40,8,83,8
2015-01-12 09:00:00,1.614,41,8,83,9
2015-01-12 10:00:00,2.002,48,8,86,11
2015-01-12 11:00:00,2.354,61,6,96,25
2015-01-12 12:00:00,NA,NA,NA,NA,NA
2015-01-12 13:00:00,1.393,65,22,105,31
2015-01-12 14:00:00,1.108,53,64,98,42
2015-01-12 15:00:00,0.987,44,67,94,66
2015-01-12 16:00:00,1.211,56,53,98,37
2015-01-12 17:00:00,1.332,79,30,120,16
2015-01-12 18:00:00,1.636,109,20,135,14
2015-01-12 19:00:00,NA,NA,NA,NA,NA
2015-01-12 20:00:00,NA,NA,NA,NA,NA
2015-01-12 21:00:00,NA,NA,NA,NA,NA
2015-01-12 22:00:00,2.12,93,16,175,19
2015-01-12 23:00:00,2.153,87,14,177,22
2015-01-13 00:00:00,2.033,80,13,164,16
2015-01-13 01:00:00,2.053,78,7,165,16
2015-01-13 02:00:00,2.034,74,5,165,17
2015-01-13 03:00:00,2.078,69,8,175,18
2015-01-13 04:00:00,1.942,65,10,170,19
2015-01-13 05:00:00,1.899,61,10,169,19
2015-01-13 06:00:00,1.948,57,9,179,22
2015-01-13 07:00:00,1.923,53,8,187,25
2015-01-13 08:00:00,2.068,52,7,193,27
2015-01-13 09:00:00,2.205,56,6,190,29
2015-01-13 10:00:00,2.309,55,8,185,29
2015-01-13 11:00:00,2.598,62,7,201,51
2015-01-13 12:00:00,3.209,67,4,201,29
2015-01-13 13:00:00,2.569,84,6,207,29
2015-01-13 14:00:00,2.478,88,24,211,58
2015-01-13 15:00:00,2.586,95,8,219,25
2015-01-13 16:00:00,2.311,98,7,210,25
2015-01-13 17:00:00,2.255,100,6,216,23
2015-01-13 18:00:00,2.302,99,7,223,22
2015-01-13 19:00:00,2.465,99,7,231,22
2015-01-13 20:00:00,2.484,91,9,238,24
2015-01-13 21:00:00,2.201,83,9,226,28
2015-01-13 22:00:00,2.012,76,9,210,26
2015-01-13 23:00:00,1.762,69,6,193,22
2015-01-14 00:00:00,1.657,67,4,173,20
2015-01-14 01:00:00,1.64,66,4,169,20
2015-01-14 02:00:00,1.471,62,5,156,19
2015-01-14 03:00:00,1.43,61,5,157,20
2015-01-14 04:00:00,1.428,59,5,163,24
2015-01-14 05:00:00,1.47,55,4,165,26
2015-01-14 06:00:00,1.554,54,2,164,26
2015-01-14 07:00:00,1.671,53,2,162,27
2015-01-14 08:00:00,1.838,50,2,170,30
2015-01-14 09:00:00,2.027,50,2,176,30
2015-01-14 10:00:00,2.093,54,3,178,36
2015-01-14 11:00:00,NA,NA,NA,NA,NA
2015-01-14 12:00:00,1.876,70,5,170,48
2015-01-14 13:00:00,1.886,78,9,174,47
2015-01-14 14:00:00,1.992,85,24,181,62
2015-01-14 15:00:00,1.839,97,14,184,40
2015-01-14 16:00:00,1.711,100,15,183,35
2015-01-14 17:00:00,1.746,102,14,185,30
2015-01-14 18:00:00,2.182,113,9,208,26
2015-01-14 19:00:00,2.38,112,9,216,23
2015-01-14 20:00:00,2.492,108,10,217,21
2015-01-14 21:00:00,2.57,102,9,224,20
2015-01-14 22:00:00,2.488,99,8,230,19
2015-01-14 23:00:00,2.381,91,9,228,21
2015-01-15 00:00:00,2.313,84,9,222,22
2015-01-15 01:00:00,2.23,76,9,215,21
2015-01-15 02:00:00,2.189,71,9,214,19
2015-01-15 03:00:00,2.373,68,7,218,28
2015-01-15 04:00:00,2.332,67,7,219,22
2015-01-15 05:00:00,2.219,64,7,208,19
2015-01-15 06:00:00,2.247,62,8,206,17
2015-01-15 07:00:00,2.394,67,8,216,18
2015-01-15 08:00:00,2.636,75,7,218,18
2015-01-15 09:00:00,2.865,87,5,229,19
2015-01-15 10:00:00,2.933,87,5,242,22
2015-01-15 11:00:00,3.025,85,7,265,36
2015-01-15 12:00:00,NA,NA,NA,NA,NA
2015-01-15 13:00:00,2.598,89,6,263,65
2015-01-15 14:00:00,2.337,86,7,243,37
2015-01-15 15:00:00,1.885,86,9,220,37
2015-01-15 16:00:00,1.619,82,8,201,38
2015-01-15 17:00:00,1.455,75,9,197,33
2015-01-15 18:00:00,1.425,72,11,188,32
2015-01-15 19:00:00,1.462,71,10,172,30
2015-01-15 20:00:00,1.526,71,10,168,28
2015-01-15 21:00:00,1.638,69,11,164,26
2015-01-15 22:00:00,1.723,66,12,162,23
2015-01-15 23:00:00,1.766,65,12,159,22
2015-01-16 00:00:00,1.905,64,11,158,21
2015-01-16 01:00:00,1.797,62,11,147,21
2015-01-16 02:00:00,1.697,60,11,148,20
2015-01-16 03:00:00,1.519,56,11,145,18
2015-01-16 04:00:00,1.335,52,11,134,16
2015-01-16 05:00:00,1.191,50,11,126,16
2015-01-16 06:00:00,1.173,47,10,121,16
2015-01-16 07:00:00,1.203,47,9,118,16
2015-01-16 08:00:00,1.334,46,9,117,15
2015-01-16 09:00:00,1.564,48,8,115,17
2015-01-16 10:00:00,1.736,55,9,116,23
2015-01-16 11:00:00,1.687,64,13,123,27
2015-01-16 12:00:00,1.67,80,17,122,28
2015-01-16 13:00:00,1.396,82,27,113,23
2015-01-16 14:00:00,0.978,57,49,85,16
2015-01-16 15:00:00,0.766,41,69,73,12
2015-01-16 16:00:00,NA,NA,NA,NA,NA
2015-01-16 17:00:00,0.69,35,85,69,10
2015-01-16 18:00:00,0.865,49,73,83,12
2015-01-16 19:00:00,1.059,72,48,92,14
2015-01-16 20:00:00,NA,NA,NA,NA,NA
2015-01-16 21:00:00,1.389,95,17,103,14
2015-01-16 22:00:00,1.417,94,15,105,14
2015-01-16 23:00:00,1.547,94,14,110,15
2015-01-17 00:00:00,1.634,91,13,117,17
2015-01-17 01:00:00,1.699,87,11,126,19
2015-01-17 02:00:00,1.732,82,11,135,20
2015-01-17 03:00:00,1.833,78,12,143,24
2015-01-17 04:00:00,1.893,75,12,146,20
2015-01-17 05:00:00,1.859,75,11,147,19
2015-01-17 06:00:00,1.744,75,9,148,20
2015-01-17 07:00:00,1.807,75,10,149,22
2015-01-17 08:00:00,1.903,72,10,151,25
2015-01-17 09:00:00,1.966,67,10,158,31
2015-01-17 10:00:00,2.127,65,11,163,40
2015-01-17 11:00:00,2.127,68,11,162,46
2015-01-17 12:00:00,1.911,73,11,165,48
2015-01-17 13:00:00,1.74,78,13,168,47
2015-01-17 14:00:00,1.908,92,12,184,46
2015-01-17 15:00:00,1.849,93,15,193,41
2015-01-17 16:00:00,1.641,83,17,204,37
2015-01-17 17:00:00,1.433,65,20,204,32
2015-01-17 18:00:00,1.373,58,17,199,26
2015-01-17 19:00:00,1.25,53,18,175,20
2015-01-17 20:00:00,1.25,55,15,173,19
2015-01-17 21:00:00,1.321,50,12,177,19
2015-01-17 22:00:00,1.312,43,13,180,19
2015-01-17 23:00:00,1.221,44,12,173,16
2015-01-18 00:00:00,NA,NA,NA,NA,NA
2015-01-18 01:00:00,NA,NA,NA,NA,NA
2015-01-18 02:00:00,NA,NA,NA,NA,NA
2015-01-18 03:00:00,0.986,43,18,126,20
2015-01-18 04:00:00,0.895,38,24,98,18
2015-01-18 05:00:00,0.828,31,31,76,16
2015-01-18 06:00:00,0.86,31,32,74,18
2015-01-18 07:00:00,0.946,34,29,71,18
2015-01-18 08:00:00,1.083,50,15,72,20
2015-01-18 09:00:00,1.182,51,14,74,25
2015-01-18 10:00:00,1.115,48,18,76,30
2015-01-18 11:00:00,1.126,50,25,82,32
2015-01-18 12:00:00,1.002,47,34,73,28
2015-01-18 13:00:00,0.952,40,48,64,20
2015-01-18 14:00:00,0.778,31,65,53,14
2015-01-18 15:00:00,0.74,28,72,48,11
2015-01-18 16:00:00,0.749,33,70,49,11
2015-01-18 17:00:00,0.789,40,63,52,11
2015-01-18 18:00:00,0.845,51,49,56,12
2015-01-18 19:00:00,NA,NA,NA,NA,NA
2015-01-18 20:00:00,1.177,77,18,69,12
2015-01-18 21:00:00,1.319,77,15,85,12
2015-01-18 22:00:00,1.154,65,17,84,10
2015-01-18 23:00:00,1.045,60,17,85,10
2015-01-19 00:00:00,NA,NA,NA,NA,NA
2015-01-19 01:00:00,1.123,46,17,123,11
2015-01-19 02:00:00,1.175,47,14,130,20
2015-01-19 03:00:00,1.185,47,13,129,23
2015-01-19 04:00:00,1.148,45,13,125,20
2015-01-19 05:00:00,1.159,45,14,122,19
2015-01-19 06:00:00,1.243,45,13,122,19
2015-01-19 07:00:00,1.3,43,12,120,16
2015-01-19 08:00:00,1.447,44,12,122,19
2015-01-19 09:00:00,1.649,47,10,121,24
2015-01-19 10:00:00,1.952,55,19,117,22
2015-01-19 11:00:00,1.657,55,8,121,45
2015-01-19 12:00:00,1.66,66,11,129,79
2015-01-19 13:00:00,2.039,76,37,140,49
2015-01-19 14:00:00,1.669,88,21,143,26
